agent_id,elapsed_time,rew_closing_distance,rew_engaging_enemy,rew_speed_magnitude,rew_near_engagement,acc_rewards,vel_angles,approaching,chasing,in_range,current_term,info[downed],info[exploded_target],info[exploded_ally],info[crashes],info[ally_collision],info[mission_complete],info[out_of_bounds],info[timeover]
9,3.191666666666667,0.02010717744067314,1.9100585657174924,5.371658675091674,0.0,3343.937698675227,1.5706324684725481,1,1,0,0,0,0,0,0,0,0,0,0
10,3.191666666666667,0.0,0.0,5.593679993657104,0.0,3641.87161247149,1.5716445798699088,1,0,0,0,0,0,0,0,0,0,0,0
11,3.191666666666667,0.029550145539400496,1.9136584413163182,7.823197694265416,0.0,4816.12719102556,1.5676778756487166,1,1,0,0,0,0,0,0,0,0,0,0
12,3.191666666666667,0.03322050651180852,1.9131281583162683,6.215486603416,0.0,4605.721715748571,1.5681124063535192,1,1,0,0,0,0,0,0,0,0,0,0
14,3.191666666666667,0.01642887560174966,1.9113515437842026,1.0892532166826303,0.0,3007.9068710408815,1.5695699777239456,1,1,0,0,0,0,0,0,0,0,0,0
15,3.191666666666667,0.0,0.0,0.0,0.0,1374.7278153980833,1.5705609033284398,0,1,0,0,0,0,0,0,0,0,0,0
16,3.191666666666667,0.03710772918298133,1.9130094480749236,10.433679450102247,0.0,3993.9071591693896,1.5682097142901847,1,1,0,0,0,0,0,0,0,0,0,0
17,3.191666666666667,0.0,0.0,17.77323862322323,0.0,4778.201573274066,1.5747231434498496,1,0,0,0,0,0,0,0,0,0,0,0
18,3.191666666666667,0.021950769187208508,1.90990697613467,7.437031123184455,0.0,4282.603272620502,1.5707571297904228,1,1,0,0,0,0,0,0,0,0,0,0
0,3.2,0.007139151474022332,1.9104097785753842,2.252166970958507,0.0,3458.907899357176,1.5703437208310023,1,1,1,0,0,0,0,0,0,0,0,0
1,3.2,0.023534037097765026,1.9098704447930812,6.472360729066672,0.0,5087.977333825194,1.5707871746897604,1,1,0,0,0,0,0,0,0,0,0,0
2,3.2,0.009924516895347013,1.9104917672027226,1.4153299993261879,0.0,1661.1813170036492,1.570276329634489,1,1,0,0,0,0,0,0,0,0,0,0
3,3.2,0.0,0.0,6.408757096778057,0.0,4175.381978428581,1.5708326538234691,1,0,0,0,0,0,0,0,0,0,0,0
4,3.2,0.004322350412130138,1.9103225666102595,1.3683383881367677,0.0,1775.35755576887,1.5704154117402804,1,1,0,0,0,0,0,0,0,0,0,0
5,3.2,0.0,0.0,11.441269694320447,0.0,3084.6456041780007,1.5722680975931485,1,0,0,0,0,0,0,0,0,0,0,0
6,3.2,0.0022093702577539176,1.9103781835670566,1.6225952916999737,0.0,1997.0651678134466,1.570369692140434,1,1,0,0,0,0,0,0,0,0,0,0
7,3.2,0.0,0.0,0.0,0.0,1969.8189265505116,1.5706154726244344,0,1,0,0,0,0,0,0,0,0,0,0
9,3.2,0.019930818266066908,1.9099944591490965,5.371658675091674,0.0,3351.2392826277337,1.5706851847813745,1,1,0,0,0,0,0,0,0,0,0,0
10,3.2,0.0,0.0,5.593679993657104,0.0,3647.4652924651473,1.571672462734913,1,0,0,0,0,0,0,0,0,0,0,0
11,3.2,0.029560575978551107,1.9136780014595391,7.823197694265416,0.0,4825.893627297263,1.5676618520524017,1,1,0,0,0,0,0,0,0,0,0,0
12,3.2,0.03308835848220504,1.913102157754089,6.215486603416,0.0,4613.883392868223,1.5681337182337867,1,1,0,0,0,0,0,0,0,0,0,0
14,3.2,0.016262125304312036,1.911374014447562,1.0892532166826303,0.0,3010.923760397316,1.5695515254072763,1,1,0,0,0,0,0,0,0,0,0,0
15,3.2,0.0,0.0,0.0,0.0,1374.7278153980833,1.5705465775730472,0,1,0,0,0,0,0,0,0,0,0,0
16,3.2,0.037106483680242164,1.9129332184412715,10.433679450102247,0.0,4006.2908783216135,1.568272206828271,1,1,0,0,0,0,0,0,0,0,0,0
17,3.2,0.0,0.0,17.77323862322323,0.0,4795.974811897288,1.5748340793355542,1,0,0,0,0,0,0,0,0,0,0,0
18,3.2,0.021973017942891637,1.9098766768589919,7.437031123184455,0.0,4291.972153438489,1.5707820490974522,1,1,0,0,0,0,0,0,0,0,0,0
0,3.2083333333333335,0.0061855759700253365,1.9103891315202324,2.252166970958507,0.0,3463.076641035625,1.570360692751998,1,1,1,0,0,0,0,0,0,0,0,0
1,3.2083333333333335,0.023418545505908384,1.9098795202253829,6.472360729066672,0.0,5096.382992619992,1.5707797105683259,1,1,0,0,0,0,0,0,0,0,0,0
2,3.2083333333333335,0.009468402354470662,1.9104424685163048,1.4153299993261879,0.0,1664.516557873846,1.5703168503838127,1,1,0,0,0,0,0,0,0,0,0,0
