time/fps,rew_vec_envs,time/iterations,time/time_elapsed,time/total_timesteps,train/explained_variance,train/approx_kl,train/std,train/loss,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/clip_range,train/entropy_loss,train/value_loss,train/clip_fraction
618,678.9161529541016,93,4924,4096000,0.6847413778305054,0.06737117,0.4098394513130188,96.34706115722656,-0.016344900331750976,1240,0.001,0.2,-2.1079321049153803,808.767426943779,0.413433837890625
617,477.6503965854645,94,4991,4128768,0.6806682646274567,0.089532204,0.4051409661769867,81.85115814208984,-0.015523287765245187,1250,0.001,0.2,-2.068884329870343,755.2679029226304,0.405633544921875
615,713.7221050262451,95,5059,4161536,0.700873613357544,0.08089863,0.403555303812027,84.2829818725586,-0.01607799888079171,1260,0.001,0.2,-2.036173241212964,751.440867972374,0.4084747314453125
613,801.4657578468323,96,5127,4194304,0.7105126082897186,0.07255191,0.40114688873291016,99.63025665283203,-0.014709871946251951,1270,0.001,0.2,-2.0208806533366444,784.6159464120865,0.417315673828125
611,541.7547767162323,97,5195,4227072,0.6855055689811707,0.07081244,0.398520290851593,124.11321258544922,-0.018235856164028518,1280,0.001,0.2,-1.9894320460036397,839.3204906463623,0.3973907470703125
609,555.9058647155762,98,5267,4259840,0.6994363963603973,0.06979311,0.39639055728912354,75.17649841308594,-0.016180930619884747,1290,0.001,0.2,-1.9607189321890472,864.2986018419266,0.4060333251953125
607,704.4999213218689,99,5336,4292608,0.7106976509094238,0.06843174,0.3946996331214905,112.17555236816406,-0.015375500116351758,1300,0.001,0.2,-1.951771030202508,865.3389165639877,0.419537353515625
606,597.3279646635056,100,5405,4325376,0.7018424570560455,0.077296704,0.3932477831840515,95.62754821777344,-0.014809671742114006,1310,0.001,0.2,-1.9417213160544633,821.3146728515625,0.41458740234375
604,647.7869009971619,101,5474,4358144,0.7066994309425354,0.07378883,0.38972267508506775,95.96388244628906,-0.016159277302358534,1320,0.001,0.2,-1.9072725312784313,857.2823628664016,0.410577392578125
602,656.3339395523071,102,5543,4390912,0.721827358007431,0.07579151,0.3890436887741089,95.64105224609375,-0.015438829085906037,1330,0.001,0.2,-1.895918633788824,756.1310995101928,0.418792724609375
601,650.6561307907104,103,5615,4423680,0.6924874484539032,0.09208213,0.3870445489883423,81.79938507080078,-0.015770097461427213,1340,0.001,0.2,-1.8768409021198749,765.6336505651474,0.4350738525390625
599,569.3295987844467,104,5683,4456448,0.7088606357574463,0.080713905,0.38456183671951294,121.1191635131836,-0.01868118613929255,1350,0.001,0.2,-1.8529484495520592,800.5195264577866,0.4225738525390625
598,617.0273711457849,105,5749,4489216,0.7120467722415924,0.07393023,0.38371050357818604,101.17060089111328,-0.0168594642989774,1360,0.001,0.2,-1.8414372550323606,802.327831530571,0.41536865234375
597,499.73976612091064,106,5814,4521984,0.7262139022350311,0.07795658,0.38400858640670776,99.23237609863281,-0.01695899427504628,1370,0.001,0.2,-1.8340068813413382,761.3007472515106,0.42987060546875
596,763.7367792129517,107,5881,4554752,0.7020872831344604,0.08998683,0.38240930438041687,95.33676147460938,-0.013562006991924136,1380,0.001,0.2,-1.8177189836278558,783.7120179653168,0.4358428955078125
594,671.2506070137024,108,5951,4587520,0.728412538766861,0.07703838,0.3802971839904785,100.9896011352539,-0.016028247463691515,1390,0.001,0.2,-1.8064167467877268,799.9142684936523,0.4098968505859375
593,703.8663721084595,109,6020,4620288,0.7073895633220673,0.07951221,0.3793942630290985,141.36056518554688,-0.015473251656658249,1400,0.001,0.2,-1.7903751518577338,817.459783411026,0.408343505859375
591,786.6787433624268,110,6090,4653056,0.6993176937103271,0.08752073,0.3794645369052887,123.57049560546875,-0.016208409184037008,1410,0.001,0.2,-1.800510279648006,816.7193493843079,0.4283843994140625
590,749.3271713256836,111,6158,4685824,0.706196516752243,0.08227078,0.3774513900279999,114.88887786865234,-0.016513351644243814,1420,0.001,0.2,-1.7787193620577455,789.3468233823776,0.41588134765625
589,719.2210159301758,112,6226,4718592,0.7214271426200867,0.0972039,0.37794849276542664,77.0393295288086,-0.015677529388631227,1430,0.001,0.2,-1.7695631315931677,714.8123696327209,0.4487884521484375
587,572.9963285923004,113,6298,4751360,0.6990889012813568,0.08764063,0.3764112591743469,117.8892593383789,-0.0175882531573734,1440,0.001,0.2,-1.7642643872648478,823.5969884872436,0.435400390625
586,449.9683208465576,114,6369,4784128,0.70143261551857,0.0888137,0.3740246295928955,133.54885864257812,-0.015249536428018472,1450,0.001,0.2,-1.7497758271172643,791.2582563638687,0.425592041015625
584,558.7819633483887,115,6441,4816896,0.7344392240047455,0.085633755,0.3715290129184723,91.36478424072266,-0.017293263243482217,1460,0.001,0.2,-1.7127957105636598,829.7682626724243,0.414483642578125
583,563.2435216903687,116,6512,4849664,0.7309068143367767,0.08062598,0.3704926371574402,102.059814453125,-0.016147357451336573,1470,0.001,0.2,-1.7046527529135347,794.8412269592285,0.4188018798828125
582,700.9702529907227,117,6584,4882432,0.7452143132686615,0.079926446,0.3687264919281006,96.63423156738281,-0.017547901690704748,1480,0.001,0.2,-1.6815097676590085,780.4678658008576,0.4224945068359375
580,744.7664127349854,118,6658,4915200,0.6991463601589203,0.07847424,0.3683265447616577,91.64290618896484,-0.016225666700483997,1490,0.001,0.2,-1.670900415442884,788.8165666580201,0.4360198974609375
579,710.200306892395,119,6727,4947968,0.7193617224693298,0.086765066,0.36700373888015747,109.94322967529297,-0.014656936113897245,1500,0.001,0.2,-1.6621811959892512,829.7966645956039,0.4389556884765625
578,671.481360912323,120,6797,4980736,0.7138766348361969,0.10037862,0.36642390489578247,113.99417877197266,-0.015533647965276032,1510,0.001,0.2,-1.651496185734868,799.8244806051255,0.44886474609375
576,594.8913984298706,121,6871,5013504,0.7429836690425873,0.08813189,0.3646029829978943,106.339111328125,-0.014345703532671904,1520,0.001,0.2,-1.6365916203707456,753.1992251873016,0.44202880859375
575,634.0436544418335,122,6947,5046272,0.7115558683872223,0.083742246,0.36306777596473694,133.42604064941406,-0.01852396336471429,1530,0.001,0.2,-1.6153513550758363,867.9992754220963,0.4162200927734375
573,696.1931610107422,123,7025,5079040,0.7404354810714722,0.07672496,0.3639317452907562,121.56421661376953,-0.017122229229789808,1540,0.001,0.2,-1.6179055726155638,815.9434006690979,0.42418212890625
571,664.1444102525711,124,7104,5111808,0.701521247625351,0.10245189,0.36267799139022827,135.3157501220703,-0.016416743169247638,1550,0.001,0.2,-1.6111380429938436,798.3105020046235,0.4372802734375
570,635.253324508667,125,7179,5144576,0.7188371121883392,0.077470854,0.3616270422935486,125.04512023925781,-0.01612125657593424,1560,0.001,0.2,-1.5962769063189626,837.7695354700088,0.42786865234375
