time/time_elapsed,rew_vec_envs,time/total_timesteps,time/fps,time/iterations,train/clip_range,train/loss,train/entropy_loss,train/n_updates,train/clip_fraction,train/std,train/explained_variance,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/learning_rate
3456,72.96300315856934,1703936,493,104,0.2,1.1250207424163818,-4.7265252117067575,1030,0.1181396484375,0.7931820750236511,0.8869171217083931,0.011583511,2.72972781942226,-0.0023118469278415434,0.0001
3494,71.04314041137695,1720320,492,105,0.2,0.4743291437625885,-4.708670201152563,1040,0.128167724609375,0.7892858982086182,0.9138572067022324,0.011375236,2.5227662957273425,-0.002456178970533074,0.0001
3529,66.76744985580444,1736704,492,106,0.2,40.61376190185547,-4.69147415459156,1050,0.11085205078125,0.7858812808990479,0.7163512408733368,0.011506748,36.26730131227523,-0.001844409344903397,0.0001
3562,61.474061489105225,1753088,492,107,0.2,0.8346139788627625,-4.672944126650691,1060,0.137445068359375,0.7828454971313477,0.6258948743343353,0.012417791,31.033196735801177,-0.001292279816698283,0.0001
3598,71.42141771316528,1769472,491,108,0.2,0.3179718255996704,-4.656331919878721,1070,0.133489990234375,0.7789073586463928,0.6758195161819458,0.012375727,12.04173458693549,-0.0024967395915155067,0.0001
3634,57.31019163131714,1785856,491,109,0.2,0.45105594396591187,-4.650538249313831,1080,0.132513427734375,0.7799804210662842,0.7103128135204315,0.011447364,14.785841537546366,-0.0010325531840862823,0.0001
3672,55.515716552734375,1802240,490,110,0.2,1.7273204326629639,-4.649739547073841,1090,0.104644775390625,0.778378963470459,0.7858949899673462,0.010551542,16.66829788852483,-0.000956485112055816,0.0001
3708,60.571125507354736,1818624,490,111,0.2,0.5120468735694885,-4.635153364390135,1100,0.155364990234375,0.7741585969924927,0.5769958198070526,0.013249787,62.76994270342402,-0.0017426014332158958,0.0001
3743,67.62541842460632,1835008,490,112,0.2,0.49306556582450867,-4.618922193348408,1110,0.147393798828125,0.7726442813873291,0.7547712028026581,0.012004187,14.577718301815912,-0.0007016204358478717,0.0001
3781,72.72861194610596,1851392,489,113,0.2,0.41671618819236755,-4.609844795241952,1120,0.14453125,0.7711918950080872,0.9177678376436234,0.012129094,1.805174616072327,-0.0016143149809067837,0.0001
3818,73.00757694244385,1867776,489,114,0.2,0.22767573595046997,-4.594681051373482,1130,0.1408447265625,0.7677841782569885,0.9148024097084999,0.012185335,1.927668978064321,-0.0027057465038524244,0.0001
3855,66.19154739379883,1884160,488,115,0.2,0.8462862372398376,-4.5720478691160675,1140,0.13792724609375,0.7628370523452759,0.9186379685997963,0.012480255,2.1563973693875598,-0.003188915913415258,0.0001
3892,76.10994338989258,1900544,488,116,0.2,0.35212215781211853,-4.549240359291434,1150,0.128607177734375,0.7587977647781372,0.8952926099300385,0.012052417,2.593409155518748,-0.002524965433804027,0.0001
3927,116.1662449836731,1916928,488,117,0.2,0.4792739450931549,-4.538281731307507,1160,0.136981201171875,0.7584531903266907,0.7173932194709778,0.012536276,8.976827296917326,-0.004069227765558026,0.0001
3962,129.34662199020386,1933312,487,118,0.2,4.24213981628418,-4.537034999579191,1170,0.06513671875,0.757929265499115,0.3792959451675415,0.0069452096,147.0664457257837,-0.002038942828494328,0.0001
3997,72.3573431968689,1949696,487,119,0.2,6.651962757110596,-4.5344090271741155,1180,0.109210205078125,0.7580318450927734,0.5035933554172516,0.010365023,61.2573910376057,-0.0017003324976030854,0.0001
4034,68.05267381668091,1966080,487,120,0.2,0.5967411994934082,-4.522638804465532,1190,0.13800048828125,0.7542451024055481,0.8827670589089394,0.0114863245,3.5239942457992584,-0.0010070781991089461,0.0001
4071,70.96835899353027,1982464,486,121,0.2,0.6516332626342773,-4.503764860332012,1200,0.14951171875,0.7520098686218262,0.6759190857410431,0.012426935,31.903459006780757,-0.0008717152627468749,0.0001
4110,81.80171632766724,1998848,486,122,0.2,0.38424065709114075,-4.484373180195689,1210,0.15245361328125,0.7462407946586609,0.8924357518553734,0.012948254,2.2312747607240455,-0.0027103735616037738,0.0001
4150,66.47594857215881,2015232,485,123,0.2,0.8428423404693604,-4.4650858622044325,1220,0.100469970703125,0.7440038919448853,0.5686400234699249,0.010664302,50.684005899867046,-0.0022009240734405465,0.0001
