rew_vec_envs,time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/learning_rate,train/loss,train/explained_variance,train/policy_gradient_loss,train/std,train/approx_kl,train/clip_fraction,train/n_updates,train/entropy_loss,train/clip_range,train/value_loss
0.3018242,,,,,0.0001,1.0581998825073242,0.9040271267294884,-0.010189551208168269,1.0109782218933105,0.009664695,0.1119140625,3560,-5.719032287597656,0.2,3.6624649286270143
0.42546022,,,,,,,,,,,,,,,
,731136,191,3814,357,,,,,,,,,,,
0.26608133,,,,,0.0001,3.8843090534210205,0.677768886089325,-0.004111470747739076,1.0110979080200195,0.0057529123,0.02890625,3570,-5.719538760185242,0.2,18.79344983100891
0.33496162,,,,,,,,,,,,,,,
,733184,191,3825,358,,,,,,,,,,,
0.259996,,,,,0.0001,1.2129827737808228,0.8077216744422913,-0.0073045298806391655,1.0107897520065308,0.008117048,0.110302734375,3580,-5.719345259666443,0.2,2.304128611087799
0.26281026,,,,,,,,,,,,,,,
,735232,191,3835,359,,,,,,,,,,,
0.25360698,,,,,0.0001,4.515635013580322,0.8849444761872292,-0.004979614331386983,1.010621428489685,0.013973673,0.081689453125,3590,-5.7179522037506105,0.2,10.080570816993713
0.20240097,,,,,,,,,,,,,,,
,737280,191,3845,360,,,,,,,,,,,
0.2860607,,,,,0.0001,0.5079016089439392,0.8764795213937759,-0.014060168142896146,1.0102207660675049,0.009436322,0.178076171875,3600,-5.716970062255859,0.2,1.0349083542823792
0.30513725,,,,,,,,,,,,,,,
,739328,191,3856,361,,,,,,,,,,,
0.37266186,,,,,0.0001,75.84413146972656,-0.04359602928161621,0.0010334795690141619,1.010231614112854,0.014835672,0.104345703125,3610,-5.716220998764038,0.2,318.3242431640625
0.14843386,,,,,,,,,,,,,,,
,741376,191,3866,362,,,,,,,,,,,
0.5833811,,,,,0.0001,2.01912784576416,0.8459997326135635,-0.007494276389479637,1.0099413394927979,0.0048053022,0.087255859375,3620,-5.715797924995423,0.2,4.781383430957794
0.3611156,,,,,,,,,,,,,,,
,743424,191,3877,363,,,,,,,,,,,
0.5168538,,,,,0.0001,8.85820198059082,0.931985154747963,-0.0031517695751972497,1.0097874402999878,0.0050846273,0.04931640625,3630,-5.714714908599854,0.2,26.93141746520996
0.23500189,,,,,,,,,,,,,,,
,745472,191,3888,364,,,,,,,,,,,
0.44928467,,,,,0.0001,211.15960693359375,0.26068395376205444,-0.0011602541897445917,1.0097687244415283,0.0012085612,0.000439453125,3640,-5.714461302757263,0.2,450.59682388305663
0.20845047,,,,,,,,,,,,,,,
,747520,191,3898,365,,,,,,,,,,,
1.5886569,,,,,0.0001,0.9716391563415527,0.9413552060723305,-0.004283186886459589,1.0096153020858765,0.0043243077,0.024609375,3650,-5.714244723320007,0.2,2.597522509098053
0.2868599,,,,,,,,,,,,,,,
,749568,191,3909,366,,,,,,,,,,,
1.8033916,,,,,0.0001,32889.9453125,0.051928937435150146,-0.002852251986041665,1.0095024108886719,0.0027344667,0.003759765625,3660,-5.713563179969787,0.2,61455.7724609375
0.6102914,,,,,,,,,,,,,,,
,751616,191,3920,367,,,,,,,,,,,
